comment_id,author,text,time,time_parsed,likes,is_reply,parent_id,scraped_at,text_length,word_count,text_cleaned
Ugx5jPXl5mqWe0Lm7xR4AaABAg,@grinchy_vr,1:58 BRO I DIDNT EVEN NOTICE U CHANGED UNTIL I LOOKED TO THE TOP LEFT HOLY APPLE COOKED,1 month ago,1770220351.92144,1,False,,2026-03-04 21:22:31,87,18,1:58 bro i didnt even notice u changed until i looked to the top left holy apple cooked
UgyT7f86EOjrrYkwi1t4AaABAg,@silasonyango4065,"Any well wisher here, to gift me iphone 17 pro this year . I'm currently  having Tecno spark 7",1 month ago (edited),1770220351.92695,0,False,,2026-03-04 21:22:31,94,19,"any well wisher here, to gift me iphone 17 pro this year . i'm currently having tecno spark 7"
UgzHRmy1Sc3vdybSe2N4AaABAg,@CloneCT0711,But I'm sure 90% of ai won't be done local but on apple servers,1 month ago,1770220351.930828,0,False,,2026-03-04 21:22:31,63,14,but i'm sure 90% of ai won't be done local but on apple servers
UgzRRBi1lNC8iOBexc94AaABAg,@NewsThatMatterUsa,I have the orange iPhone 17 Pro Max and I love the orange color …. I thought mine did have a titanium body. I was just looking it over before I watch this video and just cleaned it all up. I do construction not a single scratch on it and I always scratch up my iPhone,1 month ago (edited),1770220351.936074,0,False,,2026-03-04 21:22:31,267,56,i have the orange iphone 17 pro max and i love the orange color …. i thought mine did have a titanium body. i was just looking it over before i watch this video and just cleaned it all up. i do construction not a single scratch on it and i always scratch up my iphone
UgwikamPI3Nj8NkDboV4AaABAg,@AzBo93,"Or 3.. you ran over your PM15 at work when it fell out of you pocket and after a screen and back glass replacement, the Face ID and camera sensors dont work. :body-blue-raised-arms:",1 month ago,1770220351.941658,0,False,,2026-03-04 21:22:31,181,33,"or 3.. you ran over your pm15 at work when it fell out of you pocket and after a screen and back glass replacement, the face id and camera sensors dont work. :body-blue-raised-arms:"
UgxdUTdSlKJ2IwaCQqd4AaABAg,@pillington1338,"I think your guess about AI being why they beefed up the phone is a good one, but it looks like they'll be switching over to Google for Siri, so I wonder if their schedule for AI didn't work out and the 17 Pro might not get to stretch its legs until after the 18 is out.",1 month ago,1770220351.947181,0,False,,2026-03-04 21:22:31,270,57,"i think your guess about ai being why they beefed up the phone is a good one, but it looks like they'll be switching over to google for siri, so i wonder if their schedule for ai didn't work out and the 17 pro might not get to stretch its legs until after the 18 is out."
Ugx2xukGB2mTWbKf4p94AaABAg,@thatkanpuriaguy8177,"I knew this guy when he is wasn't fat..and made flashier videos. The channel has toned loud aesthetics. There is a switch from maximalism and too much staging to documentary look and feel.
Feels better.",1 month ago,1770220351.951288,0,False,,2026-03-04 21:22:31,202,35,i knew this guy when he is wasn't fat..and made flashier videos. the channel has toned loud aesthetics. there is a switch from maximalism and too much staging to documentary look and feel. feels better.
Ugw-hxAdOKhv_ypSBTF4AaABAg,@whyareyoudoingthis4849,"Question: I’m planning on upgrading from my iPhone XR soon with a phone from the 17 range, and am trying to decide between 17 and 17 Pro. I’ll likely keep my phone for 4-5 years but the price difference isn’t small, especially as I’m planning on purchasing AppleCare.

While I likely won’t use many of the Pro features regularly, it’s the 8GB to 12GB difference in RAM that’s got me stuck. Is investing the extra money in the extra RAM worth it and will it help my phone last better for the 5 years i plan on using it?",1 month ago,1770220352.316975,0,False,,2026-03-04 21:22:32,518,99,"question: i’m planning on upgrading from my iphone xr soon with a phone from the 17 range, and am trying to decide between 17 and 17 pro. i’ll likely keep my phone for 4-5 years but the price difference isn’t small, especially as i’m planning on purchasing applecare. while i likely won’t use many of the pro features regularly, it’s the 8gb to 12gb difference in ram that’s got me stuck. is investing the extra money in the extra ram worth it and will it help my phone last better for the 5 years i plan on using it?"
Ugy-TN0XGSWD_39ScbN4AaABAg,@p.c.n.b.6112,"""The amount of shit Samsung or any other company would be receiving for making phones that scratch easily would be exactly the same amount Apple is receiving..."" Unbios youtuber 2025",1 month ago,1770220352.319739,0,False,,2026-03-04 21:22:32,182,30,"""the amount of shit samsung or any other company would be receiving for making phones that scratch easily would be exactly the same amount apple is receiving..."" unbios youtuber 2025"
UgwIVnOsHWVzlktJa6l4AaABAg,@avinashshool,Iphone is Shit,1 month ago,1770220352.322548,0,False,,2026-03-04 21:22:32,14,3,iphone is shit
UgxFH2Zm3ErXmqCnokF4AaABAg,@Operation_Epic_Fury,Your channel is garbage.,1 month ago,1770220352.325611,0,False,,2026-03-04 21:22:32,24,4,your channel is garbage.
Ugztg-PGT2n-0w2ZyS54AaABAg,@oatmeal-r8y,Are there any iphones made in North America that is built to last and won't shatter when dropped???,1 month ago,1770220352.328708,0,False,,2026-03-04 21:22:32,99,18,are there any iphones made in north america that is built to last and won't shatter when dropped???
UgykVNGXqkpMV4fUA_B4AaABAg,@HeadDown26,iPhone 13 Pro Max users gather here.,1 month ago,1770220352.331308,2,False,,2026-03-04 21:22:32,36,7,iphone 13 pro max users gather here.
Ugw4DyK1AISoedgDyeV4AaABAg,@NokiaRingtonesArchive,Very informative review. Thank you!,2 months ago,1767541952.333805,0,False,,2026-03-04 21:22:32,35,5,very informative review. thank you!
UgyFk8BaqPSm91IbWrp4AaABAg,@BryceT101,The wallpaper you have on that phone is so cool,2 months ago,1767541952.337044,0,False,,2026-03-04 21:22:32,47,10,the wallpaper you have on that phone is so cool
UgyzpUEb8ldqtsqF7NJ4AaABAg,@Catingtin,I don’t think there gonna make 8k til they have the tech for 60 fps 8k,2 months ago,1767541952.339556,0,False,,2026-03-04 21:22:32,70,16,i don’t think there gonna make 8k til they have the tech for 60 fps 8k
UgzCo07ROr5o7-fNWHx4AaABAg,@ThemReptarPizzaEater,I just recently broke my iPhone 6 and now upgrading after idk how long to a 17 pro max,2 months ago,1767541952.343321,0,False,,2026-03-04 21:22:32,86,19,i just recently broke my iphone 6 and now upgrading after idk how long to a 17 pro max
Ugys2ILseiJDHWfnXft4AaABAg,@jackstrawford7738,Thank you for this review as I have now just ordered the iPhone 17 pro because of your amazing information,2 months ago,1767541952.387992,0,False,,2026-03-04 21:22:32,106,20,thank you for this review as i have now just ordered the iphone 17 pro because of your amazing information
Ugzb7C4AB0f72hYPEXN4AaABAg,@karlomagno02,"Upgraded from the base ip14, to an ip17 pro and tbh - at first the difference is almost negligible. But as time goes by, the upgrades show themselves in the small details. I feel that the 17 pros are basically the shift from previously luxury phones - to luxury tools.",2 months ago,1767541952.394131,0,False,,2026-03-04 21:22:32,268,50,"upgraded from the base ip14, to an ip17 pro and tbh - at first the difference is almost negligible. but as time goes by, the upgrades show themselves in the small details. i feel that the 17 pros are basically the shift from previously luxury phones - to luxury tools."
Ugx96Wd7qDrU408j1Sp4AaABAg,@SjpasVogel,"eSIM is availbale in Europe. Well, at least in The Netherlands.",2 months ago,1767541952.400956,0,False,,2026-03-04 21:22:32,63,11,"esim is availbale in europe. well, at least in the netherlands."
UgzScipuDZKJbd0qEFx4AaABAg,@vstar7196,What’s missing is your competence.,2 months ago,1767541952.407023,0,False,,2026-03-04 21:22:32,34,5,what’s missing is your competence.
UgwiehX3Jzf9gYc0hZ54AaABAg,@S2TGB,I'd say the jump between 16 and 17 is better but is also in some ways stupid compared to 15 to 16,2 months ago,1767541952.410137,0,False,,2026-03-04 21:22:32,97,22,i'd say the jump between 16 and 17 is better but is also in some ways stupid compared to 15 to 16
UgyRrtFcxv1j3ioUP_h4AaABAg,@brandoncook8300,It’s iOS 26. 26 is a mess imo,2 months ago,1767541952.414177,0,False,,2026-03-04 21:22:32,29,8,it’s ios 26. 26 is a mess imo
Ugwn5Fq6HVRw-ydIATB4AaABAg,@EnidbelindaBirungi,"Everytime I Open YOUTUBE, there's anew video from ARUN and his team. You Guys Are Amazing. Kindly Bless Me With An Iphone 17 pro max",2 months ago,1767541952.418372,0,False,,2026-03-04 21:22:32,132,25,"everytime i open youtube, there's anew video from arun and his team. you guys are amazing. kindly bless me with an iphone 17 pro max"
UgzHIMFDLdaUQjsTffl4AaABAg,@rohitsarvate6314,Why in the thumbnail the colour is chipped,2 months ago,1767541952.421062,0,False,,2026-03-04 21:22:32,42,8,why in the thumbnail the colour is chipped
UgyNxKHCJo-lSekxIPN4AaABAg,@Impassing_time,Is it worth to upgrade from iPhone 15 plus to iPhone 17 pro? Or should i wait for the 18 series??,2 months ago,1767541952.425435,0,False,,2026-03-04 21:22:32,97,21,is it worth to upgrade from iphone 15 plus to iphone 17 pro? or should i wait for the 18 series??
UgwWytdW5SBJ8a1lWNl4AaABAg,@casualgamer85_,I went from 13th I to 17 pro max I could definitely tell there was an upgrade,2 months ago,1767541952.429859,0,False,,2026-03-04 21:22:32,77,17,i went from 13th i to 17 pro max i could definitely tell there was an upgrade
Ugztg-PGT2n-0w2ZyS54AaABAg.ARa1PE1YFQBAS82CaBL5VU,@trigremlin,All of them? I've broken androids but never an iPhone.,1 month ago,1770220354.532719,0,True,,2026-03-04 21:22:34,54,10,all of them? i've broken androids but never an iphone.
Ugztg-PGT2n-0w2ZyS54AaABAg.ARa1PE1YFQBASi8WdpHgKq,@oatmeal-r8y,​ @trigremlin iphones and ipads when dropped have ALL cracked - cheaply made. None of my Android phones nor tablets have ever cracked😅,1 month ago,1770220354.535382,0,True,,2026-03-04 21:22:34,134,23,​ iphones and ipads when dropped have all cracked - cheaply made. none of my android phones nor tablets have ever cracked😅
Ugztg-PGT2n-0w2ZyS54AaABAg.ARa1PE1YFQBASnEaTuWWdJ,@oatmeal-r8y,​ @trigremlin it's not possible to break Androids,1 month ago,1770220354.538797,0,True,,2026-03-04 21:22:34,49,8,​ it's not possible to break androids
UgwiehX3Jzf9gYc0hZ54AaABAg.AR3PkgB88x6AR3PrJX9thR,@S2TGB,I just bought the 17 Pro a bit ago and I'm a bit damned that i didn't get titanium,2 months ago,1767541954.833191,0,True,,2026-03-04 21:22:34,82,19,i just bought the 17 pro a bit ago and i'm a bit damned that i didn't get titanium
UgyNxKHCJo-lSekxIPN4AaABAg.AR-2xgzFYODARslKa45xMz,@Lakeeeez,I just did it last night because my cellphone carrier had a free upgrade. I notice quite a bit of difference. The camera alone is sooo much better.,1 month ago,1770220359.701621,1,True,,2026-03-04 21:22:39,147,28,i just did it last night because my cellphone carrier had a free upgrade. i notice quite a bit of difference. the camera alone is sooo much better.
UgwW2mReWsdGDr7MV114AaABAg,@ValliBala-j2f,"Still using my iPhone XS, works well",2 months ago,1767541960.049455,0,False,,2026-03-04 21:22:40,36,7,"still using my iphone xs, works well"
UgzE7WS-_gKcC5stYOh4AaABAg,@TJH.90,"just got mine no bad things.. battery, user exprience and cameras beat any android phone.. am ex android user",2 months ago (edited),1767541960.052234,0,False,,2026-03-04 21:22:40,109,19,"just got mine no bad things.. battery, user exprience and cameras beat any android phone.. am ex android user"
UgyNcv36G2HeLzydiqh4AaABAg,@أبوأحمدلعولقي,"​⚠️ Key Drawbacks and Issues of the iPhone 17 Pro Max
​1. Chassis Durability Issue (Scratch Prone)
​Reason: Complaints focused on the return to using an aluminum chassis in this generation instead of the titanium used in the previous generation.
​Details: Aluminum makes it significantly more susceptible to scratches and abrasion, especially in darker colors, even from using a MagSafe charger or simply placing it on rough surfaces. This reminded users of past issues (such as ""Scuffgate"").
​2. Weight and Thickness (Relatively Heavy)
​Details: The phone has become slightly heavier and thicker compared to the previous generation (iPhone 16 Pro Max). This is attributed to the addition of a Vapor Chamber cooling system and an increase in battery capacity.
​3. Camera and Software Issues (Launch Phase)
​Details: Reports surfaced about initial visual bugs in the iOS 26 operating system, in addition to problems with camera image quality in low-light conditions, and the appearance of white squares or lines in some photos. (These issues are typically resolved through subsequent software updates).
​4. Wireless Connectivity Problems
​Details: Some users reported frequent Wi-Fi network disconnection and impacts on Bluetooth and AirPlay. (This is an issue hinted at being solvable with a software update).
​5. Price and Accessories
​The phone is very expensive.
​You still need to purchase the charger separately, in addition to the case and other accessories",2 months ago,1767541960.054938,0,False,,2026-03-04 21:22:40,1463,225,"​⚠️ key drawbacks and issues of the iphone 17 pro max ​1. chassis durability issue (scratch prone) ​reason: complaints focused on the return to using an aluminum chassis in this generation instead of the titanium used in the previous generation. ​details: aluminum makes it significantly more susceptible to scratches and abrasion, especially in darker colors, even from using a magsafe charger or simply placing it on rough surfaces. this reminded users of past issues (such as ""scuffgate""). ​2. weight and thickness (relatively heavy) ​details: the phone has become slightly heavier and thicker compared to the previous generation (iphone 16 pro max). this is attributed to the addition of a vapor chamber cooling system and an increase in battery capacity. ​3. camera and software issues (launch phase) ​details: reports surfaced about initial visual bugs in the ios 26 operating system, in addition to problems with camera image quality in low-light conditions, and the appearance of white squares or lines in some photos. (these issues are typically resolved through subsequent software updates). ​4. wireless connectivity problems ​details: some users reported frequent wi-fi network disconnection and impacts on bluetooth and airplay. (this is an issue hinted at being solvable with a software update). ​5. price and accessories ​the phone is very expensive. ​you still need to purchase the charger separately, in addition to the case and other accessories"
Ugz2cLbiO4vxVTh0Ag54AaABAg,@Achilleas_7steros,"Κάνεις δε μιλάει για το αλουμίνιο! Και μου κάνει τρομερή εντύπωση… Είναι δυνατόν, ένα τηλέφωνο των 1.499 ευρώ, να είναι αλουμίνιο..;; Για το σχεδιασμό, απλά άθλιο! Το 16 pro max θα το κρατήσω για πολύ καιρό…",2 months ago,1767541960.057618,0,False,,2026-03-04 21:22:40,207,36,"κάνεις δε μιλάει για το αλουμίνιο! και μου κάνει τρομερή εντύπωση… είναι δυνατόν, ένα τηλέφωνο των 1.499 ευρώ, να είναι αλουμίνιο..;; για το σχεδιασμό, απλά άθλιο! το 16 pro max θα το κρατήσω για πολύ καιρό…"
UgwKmVDf8Fns96GJm2V4AaABAg,@tom-kaulitz2009,Even gaming phones like the redmagic 11 pro can film in 8k 30fps,2 months ago,1767541960.060209,1,False,,2026-03-04 21:22:40,64,13,even gaming phones like the redmagic 11 pro can film in 8k 30fps
UgwQxX_qn23nnoatbNp4AaABAg,@mohammednadeem7534,Vivo v20 users unite😤,2 months ago,1767541960.062724,0,False,,2026-03-04 21:22:40,21,4,vivo v20 users unite😤
UgyAukaJDQ2YUG5hdmF4AaABAg,@JackHearn19091,Dude I’m so excited I’m getting mine Friday and I’m coming from a base iPhone 14,2 months ago,1767541960.065477,1,False,,2026-03-04 21:22:40,80,16,dude i’m so excited i’m getting mine friday and i’m coming from a base iphone 14
UgwJXcD1akWhhVMVFe94AaABAg,@Fletchman,Take a shot every time this guy says asterisk.,2 months ago,1767541960.068122,0,False,,2026-03-04 21:22:40,46,9,take a shot every time this guy says asterisk.
UgxDhbPstXbe1aj1Cgd4AaABAg,@Anthony-cm7nz,iPhone 14 users gather here,2 months ago,1767541960.070966,0,False,,2026-03-04 21:22:40,27,5,iphone 14 users gather here
UgyJkFiCeDk5OqA06lJ4AaABAg,@PawanKumar-go4uq,Aap mujh gife krfo,2 months ago,1767541960.074389,0,False,,2026-03-04 21:22:40,18,4,aap mujh gife krfo
Ugw-Hjwm3ogch-vHAPN4AaABAg,@youcanthide004,I have the Phone & That case. This video is profoundly accurate!! Thanks Buddy / reminds me of my EX👩🏻‍🦰LOL,2 months ago,1767541960.076981,0,False,,2026-03-04 21:22:40,107,20,i have the phone & that case. this video is profoundly accurate!! thanks buddy / reminds me of my ex👩🏻‍🦰lol
Ugwevr3jdYZJmXCOB2N4AaABAg,@JothamJames-tl9fg,iPhone X ppl gather here😅,2 months ago,1767541960.079966,0,False,,2026-03-04 21:22:40,25,5,iphone x ppl gather here😅
UgyFKtFoz2cGUVBS0pN4AaABAg,@ShameerAmmar,Bro holding the phone like it doesn't care😂,2 months ago,1767541960.082485,0,False,,2026-03-04 21:22:40,43,8,bro holding the phone like it doesn't care😂
Ugzz2UYFPKtfwIqdq-F4AaABAg,@travellervideos2024,I dumped Samsung Ultra for an iPhone 17 Pro,2 months ago,1767541960.085447,0,False,,2026-03-04 21:22:40,43,9,i dumped samsung ultra for an iphone 17 pro
Ugy6Jf18qduA5fq3Xv54AaABAg,@WoodyEliasONXBOX,wtf do you do with all your phone 😩,2 months ago,1767541960.08833,0,False,,2026-03-04 21:22:40,35,9,wtf do you do with all your phone 😩
Ugym5ojrcFJlezqJ86V4AaABAg,@fotosbyduane,15 Pro.  The 17 Pro is tempting.,2 months ago,1767541960.090846,0,False,,2026-03-04 21:22:40,32,7,15 pro. the 17 pro is tempting.
Ugxiq2md9fvP56VJ0l14AaABAg,@Draegonfyrë,"YES! They are ugly! But my trusty iPhone Xs Max in RoseGold will not get iOS 26, and have to move on, bummer! 😢",3 months ago (edited),1764863560.093761,0,False,,2026-03-04 21:22:40,111,24,"yes! they are ugly! but my trusty iphone xs max in rosegold will not get ios 26, and have to move on, bummer! 😢"
UgxAMYbWeM4KlTtZVXt4AaABAg,@adriantns,What charger you need for 17 pro max and what wire ?,3 months ago,1764863560.09627,0,False,,2026-03-04 21:22:40,52,12,what charger you need for 17 pro max and what wire ?
UgxkbipLJ0BUWrqAU_J4AaABAg,@nothingggg1233,meta ai? really i had higher hopes for you haha 😄,3 months ago,1764863560.0992,0,False,,2026-03-04 21:22:40,49,11,meta ai? really i had higher hopes for you haha 😄
Ugw8ehK7gqkcIObVJrR4AaABAg,@Alamin-1-i3e,❤❤❤❤,3 months ago,1764863560.10181,0,False,,2026-03-04 21:22:40,4,1,❤❤❤❤
UgyxuLYdHrvJTKYHzHx4AaABAg,@abuyco,"Everyone wants ""Future Proof"" but it seems like everyone buys a new phone every year anyway... I purchased an iPhone Xr 7 years ago and ""Future Proofed"" it by upgrading the internal storage to 256GB. Year after year I had to ""force"" myself not to be tempted to upgrade after seeing the yearly new features. I finally upgraded to the iPhone 17 and now am getting 7 years of new features (plus the iPhone Xr was dropped from the iOS OS updates).",3 months ago,1764863560.554363,0,False,,2026-03-04 21:22:40,443,82,"everyone wants ""future proof"" but it seems like everyone buys a new phone every year anyway... i purchased an iphone xr 7 years ago and ""future proofed"" it by upgrading the internal storage to 256gb. year after year i had to ""force"" myself not to be tempted to upgrade after seeing the yearly new features. i finally upgraded to the iphone 17 and now am getting 7 years of new features (plus the iphone xr was dropped from the ios os updates)."
UgwHjUUZY_gpCZLRRuF4AaABAg,@saminogabino,"No offense. I love your reviews, but with durability testing I only trust the one and only Zach",3 months ago,1764863560.557126,0,False,,2026-03-04 21:22:40,95,18,"no offense. i love your reviews, but with durability testing i only trust the one and only zach"
UgxvdMLNqHBOk5-C7tt4AaABAg,@NotPsycho69,someone resurrect steve jobs :face-red-droopy-eyes:,3 months ago,1764863560.559676,0,False,,2026-03-04 21:22:40,51,5,someone resurrect steve jobs :face-red-droopy-eyes:
UgwvRYjZlLXdT0eu_M94AaABAg,@bertone83,First time I really find an iPhone ugly.,3 months ago,1764863560.562171,0,False,,2026-03-04 21:22:40,40,8,first time i really find an iphone ugly.
