rating,text,title,date
5,"but now This time is for , I Miss features in this mobile , boaring device , Google photos editing is wonder . But I disappointed with this iphone, samsung is far better for now, new lots of features. Bro dont buy if u need comfortable, something, I buy only for flex I have both samsung and iphone , I love samsung S series Ashwani kumar",Terrific purchase,Jan 2025
5,"iPhone 16 is great in design, performance, battery life is great although charging is slow. Casual photography is great although lacks in detail but night photos are good, videography is great , black colour is excellent.",Best in the market!,Nov 2024
4,Good quality camera,Value-for-money,Jan 2026
4,Its light weight and for that hand fell is ultimate. Also the low light camera and protriant mode is amazing . Only the issue is battery while other phones at this size and weights still gives more battery backup,Wonderful,Nov 2025
5,Good specifications and good performance Nijil P,Worth every penny,Oct 2025
5,This phone good design,Awesome,Nov 2025
4,Overall good phone,Delightful,Oct 2025
4,Wowed camera so good,Worth the money,Oct 2025
4,Over all performance is good,Wonderful,Oct 2025
4,"The phone is good, but the battery is draining very fast",Good quality product,Oct 2025
4,Totally satisfied with my first iphone but battery backup could be improved,Good quality product,Oct 2025
5,Best i phone 16. Original product and open delivery option is great.,Highly recommended,May 2025
5,Delivery service was good. And phone is awesome.,Wonderful,Jan 2025
5,Thanks to flipkart it is a awesome phone,Fabulous!,Aug 2025
5,"My first ever Iphone and I am really happy with the purchase. If anybody is looking for a change . Display is good, battery life is good. Camera is amazing.",Wonderful,Jun 2025
5,I loved this product,Simply awesome,Oct 2025
5,Value of money .,Mind-blowing purchase,Oct 2025
2,Display blinking in pink colour,Bad quality,Apr 2025
5,Excluding memory and battery rest all good,Wonderful,Dec 2024
5,Every thing is fine but the only concern is with the battery health.,Highly recommended,Oct 2025
5,Camera quality is too good,Best in the market!,Oct 2025
5,Excellent mobile,Excellent,Oct 2025
5,nice product and also seller.,Great product,Oct 2025
5,Just love my first Iphone.,Awesome,Aug 2025
5,Phone received in good quality. Bought it in great price in sale. The delivery was delayed. Simply best just go for it if you are iphone fan. I was thinking to buy 16e but its just like iPhone X . Instead for 16. Not used to the new side camera button. Lets see.,Brilliant,Jul 2025
5,Go for 15 ya 16 pro,Classy product,Jun 2025
5,All over good Bhagwan sahay prajapat,Super!,Mar 2025
4,First time purchasing iPhone 16 mobile super high security thirumala naidu,Value-for-money,Jan 2025
5,Its very nice that I have upgraded my iphone 13 to an iPhone 16,Brilliant,Jan 2025
5,Nice products im happy thanks Pujum yomgam,Just wow!,Oct 2024
4,Better than 15 and 14,Wonderful,Oct 2025
4,"It was a good 1st time experience, switching , enjoying using it. The seller is also authentic my iphone is not pre activated. It overall a good",Good quality product,Oct 2025
4,Amazing quality satish rana,Good choice,Oct 2025
4,Phone is good but refresh rate is less over all good phone,Delightful,Jan 2025
4,Good prasad veera,Worth the money,Jan 2025
5,Good performance and camera quality is amazing for this iPhone built quality is good. And battery is not decent but good.,Just wow!,Apr 2025
5,Thank you So much,Wonderful,Nov 2025
3,Battery too much drain,Just okay,Dec 2025
3,Good but it too smoll,Just okay,Nov 2025
3,Heating issues Gaurav pundir,Decent product,Oct 2025
5,Good product singh,Simply awesome,Oct 2025
3,It heats like a pan in 2 mins of use,Decent product,Jun 2025
5,After only one phone is there which is known as i,Highly recommended,Oct 2025
5,good camera setting. little hard to manage this phone,Excellent,Apr 2025
5,Superbbb performance,Best in the market!,Jul 2025
4,Battery life is not good,Does the job,Oct 2025
5,nice phone it also have great performance and battery capacity.,Super!,Oct 2025
5,iPhone 16 white is awesome. Balaji K,Must buy!,Aug 2025
5,But this device is notable to beat my poco X7 pro,Wonderful,Oct 2025
5,Very nice product Ram niwash,Classy product,Nov 2025
5,Its best product and flipkart is best online purchase app,Must buy!,Jan 2026
5,Nothing to say anything to apple. Its built like that,Wonderful,Jan 2026
5,Strongly recommend T B,Terrific purchase,Oct 2025
5,Best in this price range.,Wonderful,Jan 2026
5,Everything is perfect.. sale price.,Terrific,Oct 2025
2,"Battery back up is not good, its draining too fast even when phone is idle",Slightly disappointed,Jan 2026
2,Black clour bery bad rekibul islam,Bad quality,Jan 2026
5,Other than the low screen resolution everything of this phone is perfect can be a great phone for 1st time apple user,Brilliant,Jan 2026
5,Simply gotta love it daksh jirati,Worth every penny,Jan 2026
1,Too much hot while using camera worst experience,Terrible product,Jan 2026
5,I am satisfied product is nice,Mind-blowing purchase,Jan 2026
5,"Very nice product , but the screen size is a bit small to my liking . Also the screen hurts my eyes in the night . One plus is a better phone",Super!,Jan 2026
5,awesome and very good product Dholu jaat,Excellent,Jan 2026
1,Worst mobile S..,Absolute rubbish!,Jan 2026
5,Amazing purchase,Mind-blowing purchase,Jan 2026
1,Lots of bugs in every new update,Terrible product,Jan 2026
5,Received good quality I phone,Classy product,Jan 2026
5,Very nice product. Amazing experience with this phone. Camera is awesome and very smooth working. I really like this phone .,Mind-blowing purchase,Jan 2026
4,Full value for money,Pretty good,Jan 2026
4,Good phone. Battery health not that good,Nice product,Jan 2026
4,rashid chaudhary,Pretty good,Jan 2026
5,Phone is very good loved it 24,Must buy!,Jan 2026
5,Best ever in this price,Excellent,Jan 2026
5,For security wise this is the best .,Classy product,Jan 2026
5,. Product is awesome.,Super!,Jan 2026
4,Very nice looking,Good quality product,Jan 2026
5,It feels premium .,Terrific,Oct 2025
5,What a Product what a camera beautiful mobile hai,Best in the market!,Jan 2026
5,phone smooth and have great performance Sayyed parvez,Great product,Jan 2026
5,What a fantastic phone. Iphone always iphone anilraj,Simply awesome,Jan 2026
5,"Overall good device,only problem is battery backup and also still 60hz display",Terrific,Jan 2026
3,Battery capacity,Decent product,Oct 2025
5,No doubt one of the best phone,Terrific,Jan 2026
3,Overall a good phone at this price range,Decent product,Jan 2026
5,It is very nice and its material is also very soft.I tried it and I liked it very much.,Perfect product!,Jan 2026
4,It was mentioned it has auto call recording facility but its not working at all,Pretty good,Jan 2026
5,Soo good proformance,Super!,Jan 2026
5,mukardamwala,Super!,Jan 2026
5,"Nice and sturdy and easy to use with 1 hand at reasonable, however recommend to go for iPhone 17 if budget allows.",Best in the market!,Jan 2026
5,Premium phone ever,Simply awesome,Jan 2026
4,"iphone 16 box was bit dusty with lot of stickers . Other than that, original brand new unused piece. Camera of iphone 16 is great with focal and macro mode. Cinematic video is amazing",Wonderful,Jan 2026
5,Nice phone it was one best series in this brand,Super!,Jan 2026
5,"Overall, my experience has been good and satisfactory.",Perfect product!,Jan 2026
5,Good performance nice phone,Best in the market!,Jan 2026
5,Good phone Ankita gupta,Worth every penny,Jan 2026
1,Disappointed.,Terrible product,Jan 2026
4,Good professional,Pretty good,Jan 2026
5,Excellent rajpal singh rathore,Brilliant,Jan 2026
5,Very good love it.,Terrific purchase,Jan 2026
4,Smooth use love it,Nice product,Jan 2026
5,Amazing as apple provide,Mind-blowing purchase,Jan 2026
5,Very good mobile,Just wow!,Jan 2026
5,Evry time best flipkart thanks,Just wow!,Sep 2025
4,Amazing product with great deal on flipkart Rahul verma,Nice product,Jan 2026
5,soooo Happyyyyy to buy,Brilliant,Jan 2026
5,Its so much amazing i just loved it and the colour is also so good,Super!,Jan 2026
5,I like it product,Terrific purchase,Jan 2026
4,Pardeep vashist,Delightful,Oct 2025
5,Good nice product,Super!,Jan 2026
5,My first iPhone best experience,Mind-blowing purchase,Jan 2026
5,Very nice but some bugs needs to be fixed,Awesome,Oct 2025
5,Video recording quality clarity,Fabulous!,Jan 2026
5,Good but high price without offers B,Classy product,Jan 2026
5,Good a this product and so i am satisfied this product,Worth every penny,Jan 2026
5,Nice product yasmeen shaikh,Simply awesome,Jan 2026
5,Best and awesome phone till date,Just wow!,Jan 2026
5,This phone very good,Super!,Nov 2025
5,Super I phone 101 Indian original mobile i m happy to this thak you flipcart,Terrific purchase,Jan 2026
5,so far the best performance i have experinced in a phone ! really amazing..,Excellent,Oct 2025
5,Definitely it is an improved version compared to the older models in terms of performance and battery life. Noticeable changes after 12.,Excellent,Jan 2026
5,Great... I need one more phone,Terrific purchase,Jan 2026
5,Never think twice go for iPhone 16 . You will not regret. It will change your thinking about iOS . Everything is easy. You will love it. Battery is quite good .,Terrific purchase,Jan 2026
5,Nice one..looks classy..!,Fabulous!,Jan 2026
4,Nice product thnku flipkart,Delightful,Jan 2026
5,Best sound quality,Wonderful,Jan 2026
5,"Amazing experience, battery experience, camera quality all are good.",Perfect product!,Jan 2026
5,Go for higher storage like 256 gb,Best in the market!,Jan 2026
5,Excellent quality and service,Excellent,Jan 2026
4,Battery quality is very poor,Useless product,Jan 2026
5,I have gift to my brother Mohd azar,Mind-blowing purchase,Jan 2026
5,thank you flipkat,Terrific,Jan 2026
5,Its orginal and genuine product Im happy bcz I got unused product happy for buying online,Terrific,Jan 2026
3,"Babal item I would say that , camera is good and battery is not good but performance is better than any android",Does the job,Jan 2026
5,Very nice product thanks flipkart love you,Classy product,Jan 2026
5,Amazing phone. Great battery life and great camera,Just wow!,Jan 2026
5,I bought it in open box delivery was smooth I shifted 16 and boy I love this product iPhone is a statement super performance simply go for it,Terrific,Jan 2026
5,Loving the new IPhone 16 design and camera. The phone is lighter than previous models. Good phone at the price.,Classy product,Sep 2025
1,Display and performance of speaker is very bad. Speaker have very pro Gaurav kaushik,Worst experience ever!,Jan 2026
1,Phone is hanging and silent button not working,Hated it!,Jan 2026
1,Very poor battery performance Rahul kale,Absolute rubbish!,Sep 2025
5,Best mobile in budget,Super!,Jan 2026
5,As expected Ashis kumar,Must buy!,Jan 2026
5,A very good and wonderful product i received mohit awana,Highly recommended,Dec 2025
5,Perfect phone best choice,Great product,Dec 2025
5,Very nice iPhone and in brand new quality.,Must buy!,Dec 2025
5,Genuine product Varun J,Terrific,Dec 2025
3,Good but not good as s24,Decent product,Dec 2025
4,Happy with the new update iphone16 Abhijeet wankar,Good quality product,Dec 2025
5,Camera is awesome Except battery backup everything is,Mind-blowing purchase,Dec 2025
5,Nice product Abimanyu 7,Worth every penny,Dec 2025
5,Thanks for the phone superb speed and good packaging sagar kambli,Super!,Sep 2025
5,Got in budget price in sale Till now no issue,Just wow!,Dec 2025
5,I m so happy with,Terrific purchase,Dec 2025
4,Nothing to newly about apple pintu maiti,Nice product,Dec 2025
3,"Battery 610 Display 710 Audio 810 Dont buy for camera Waste of money, go with samsung s24 ultras25 ultra .",Camera 310,Dec 2025
5,Nothing to say Just I loved,Highly recommended,Dec 2025
1,Phone is good but delivery was worst that i have ever experienced with any e-com platform,Hated it!,Dec 2025
5,Apple always good no need any special rating Tarlok singh,Perfect product!,Dec 2025
5,Love it my first i,Wonderful,Dec 2025
5,Best camera quality phone,Excellent,Dec 2025
5,This phone is superb everything is perfect and flawless and the only problem with is phone is battery nothing else .,Excellent,Dec 2025
5,awesome azepal,Wonderful,Dec 2025
5,Satisfied with product,Mind-blowing purchase,Dec 2025
4,this price Mr.,Wonderful,Dec 2025
5,Good work mayur,Wonderful,Dec 2025
4,Good ghjdff do hbcxb bcc fh Sanjay saran,Value-for-money,Dec 2025
5,I like this phone very much Gagan soni,Perfect product!,Dec 2025
5,such a great experience with iphone16 and excellent camera,Must buy!,Dec 2025
5,best phone for gadget enthusiasts camera is highlight,Must buy!,Dec 2025
5,Excellent shubham khokade,Just wow!,Dec 2025
5,Super experienced,Excellent,Dec 2025
5,"Fabulous ,great camera ,design yogesh more",Mind-blowing purchase,Dec 2025
5,"I must say this phone was really Amazing and captured the high quality of pics, specifically the portrait shots are really nice same in the case of videos as well. With good details and battery backup is also fine after using continuously for around 7 to 8 hrs. You can definitely go for it.",Worth every penny,Sep 2025
5,"Ive been using it since October 24 till now....and its so amazing to use it. Performance is too good. And coming about the camera , like I cant explain my work. Overall its outstanding to use it so I would tell you people you guys must buy it.",Great product,Dec 2025
4,Good product with light in weight,Pretty good,Dec 2025
5,Outstanding performance and awesome camera khusanavaz shekh,Must buy!,Dec 2025
5,Allrounder phone,Awesome,Dec 2025
5,First apple phone I ever experienced and it makes me wow,Classy product,Dec 2025
5,backup is good as compared with i phone 15,Great product,Dec 2025
5,Good pr Ramesh kumar,Brilliant,Dec 2025
4,"Nice product, but the delivery was late.",Worth the money,Dec 2025
5,Excellent one m m,Classy product,Dec 2025
5,Apple phones are always market leader,Terrific,Dec 2025
5,"Product is very good, I like it, value for money",Highly recommended,Jan 2026
5,iPhone need no praise. Amazing product.,Excellent,Dec 2025
5,It is a very good mobile,Must buy!,Dec 2025
5,Everyone know what iphone is amit chhikara,Fabulous!,Aug 2025
5,Phone is good but networking is not good Ajay kumar,Fabulous!,Dec 2025
5,Original product received,Brilliant,Jan 2026
5,"The iPhone 16 is a fantastic, complete package, especially in the sophisticated Black finish. It brings the power, key photographic features, and modern interactive elements previously exclusive to the Pro line to the standard model.",Classy product,Dec 2025
3,Not superb Ok ok gadgets Amit kumar Amit kumar,Decent product,Nov 2025
3,Mostly overheated problems,Decent product,Dec 2025
5,Amazing phone os is so smooth and the camera is superb,Must buy!,Dec 2025
4,"Received in good condition, checked the authenticity seems like fine.",Value-for-money,Dec 2025
5,Just wow...obviously coz too much of expensive..,Terrific purchase,Nov 2025
5,"My 1st I phone, absolutely loving it , thanks to Flipkart for genuine product",Wonderful,Dec 2025
5,Excellent product go for it,Fabulous!,Aug 2025
5,Superb phone for the price range and love all the features.,Terrific purchase,Aug 2025
5,Worth it. Shreehari S,Mind-blowing purchase,Dec 2025
5,Very nice mahesh varma,Simply awesome,Dec 2025
4,Outstanding performance hemant kumar,Pretty good,Dec 2025
5,Awesome.. Juned M,Terrific,Dec 2025
5,16 series is best,Best in the market!,Dec 2025
4,First iPhone quite impressive performance,Good choice,Dec 2025
5,"Internet speed is not good, only videos are being made very easily and the quality is also Good, the rest of everything is very normal",Worth every penny,Dec 2025
4,Best phone everything is good,Wonderful,Jan 2026
4,Phone is good but packing is very bed BoOm ShiVa,Worth the money,Nov 2025
5,Battery good rest everything awesome,Perfect product!,Nov 2025
5,Buying first time I had a great experience. Thank you,Just wow!,Jan 2026
4,Osm phone but battery backup not good,Good choice,Jan 2026
5,I like iphone 15 design........,Must buy!,Nov 2025
5,Apple always provides a good product. But now i guess they need innovation.,Terrific purchase,Jan 2026
5,Great purchase subhash gole,Worth every penny,Nov 2025
5,Product is very good,Best in the market!,Nov 2025
5,pretty happy with this purchase,Perfect product!,Nov 2025
5,Good product FlipkartDesh CustomerRaj,Simply awesome,Nov 2025
4,Excellent sonu saraswat,Good quality product,Nov 2025
5,Great performance phone,Simply awesome,Nov 2025
4,Better quealty is,Worth the money,Jan 2026
5,kuraku prathap,Great product,Nov 2025
