rating,text,title,date
5,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 2.0 Expected a better product Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Camera quality is not good Ankur Borgohain , Nazira Helpful for 9 Verified Purchase 4.0 Nice product Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB The camera could be better since its a SONY IMX882. Battery backup and charging is excellent2 days if not gaming Gaming can be done smoothly. The build quality is very goo",",093 ratings and 248 reviews",Dec 2025
4,"Every thing in this phone is great.but two things are in concern.first its memory is non-extendable and second is its speaker ...since it has mono speaker ,when playing background music you can hear buzz sound over mere vibration READ MORE Certified Buyer ,",Worth the money,Feb 2026
1,"Very good Smartphone. I love this as a college student. Best for watching lectures READ MORE ABHISHEK KUMAR Certified Buyer , Chakia",Useless product,Dec 2025
5,"Super phon Battery super camera nic and performance super READ MORE Pradeep Prabha Certified Buyer , Hyderabad",Super!,Jan 2026
5,"Product process and mobile phone is ok But tempered glass is difficult to manage Kindly is it usage application READ MORE Aps 1245 Certified Buyer , Tiruppur District",Mind-blowing purchase,Feb 2026
5,"Very good at performance, long lasting battery life, camera is decent READ MORE Kshitij Patil Certified Buyer , Konkan Division",Just wow!,Jan 2026
5,"It is really a battery monster. Other things are also quite good. READ MORE Krushna Prasad Mishra Certified Buyer , Jaleswar",Terrific,Feb 2026
5,"I was using iphone but due to feel boring after some time I think lets go to the Android with iQOO .. I just want to say performance phone 1010 READ MORE Mohit Sadana Certified Buyer , Maham",Great product,Feb 2026
1,"Mono speaker in this price that is bad but display , battery and performance is good in this price range READ MORE Jolly Johnson Certified Buyer , Krishnapuram",Useless product,Jan 2026
4,"Nice phone with good battery back up and good screen READ MORE Certified Buyer ,",Good choice,Jan 2026
5,"The IQOO Z10 is superb phone with nice display, battery life and performance is top notch really amazing phone. READ MORE Ashlok Rajesh Chaudhary Certified Buyer , Vasai Virar",",093 ratings and 248 reviews",Jan 2026
5,"iQOO z10 phone outstanding performance best design READ MORE Amar Singh Certified Buyer , Tumakuru",",093 ratings and 248 reviews",Dec 2025
5,"Nice product,phone is awsome,camera display everything just wow..but delivery was delayed.. READ MORE SANTANU BISWAS Certified Buyer ,",Great product,Jan 2026
4,"All is good but delivery time too late giving time 2 days received after 5 days very bad experience READ MORE Velu Certified Buyer , Chennai",Really Nice,Dec 2025
5,"nice phone, great battery and camera performance. super fast charging too READ MORE Certified Buyer ,",Classy product,Jan 2026
5,"Camera is poor quality and also battery is not up to this marks in this range READ MORE Dirgesh Kumar Certified Buyer , Harnaut",Brilliant,Feb 2026
5,"Good Product l Battery performance awesome and its Camera size too big dillcicuilty in belaying game. READ MORE Certified Buyer ,",Best in the market!,Jan 2026
5,"GOOD LOOKING phone in this pirce range AWESOME Display READ MORE sudeep shah Certified Buyer , Singrauli",Must buy!,Jan 2026
2,"Overall good but camera and speaker decent READ MORE Subham Mandal Certified Buyer , Maldah District",Slightly disappointed,Jan 2026
5,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Terrific Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Really good product Genuine review Srinu Mutchakarla , Visakhapatnam Helpful Verified Purchase 5.0 Must buy! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Very nice phone in under 20k! Easily. Nowadays the mobile phones prices are being crazy and not that much value.But I am lucky to have it! Under 20K.... ,",",093 ratings and 248 reviews",Dec 2025
4,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Super! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Battery service best ANAL Biswas , Purba Bardhaman District Helpful Verified Purchase 5.0 Best in the market! Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Good VARGHESE BABU , Koratty Helpful Verified Purchase 4.0 Good quality product Review for Color Stellar Black  Black RAM 8 GB Storage 256 GB Good Camera phone and pe",Worth the money,Dec 2025
1,"This phone is just as I imagined. The design of the phone is great. 1010 READ MORE Vigneshwaran J Certified Buyer , Coimbatore",Worthless,Jan 2026
3,"There is no IR senser for this to operate TV or AC READ MORE Sai krishna Mandalapu Certified Buyer , Khammam",Fair,Feb 2026
2,"Its automatically switch off and switch on ...worst phone .dont buy READ MORE narender kadakanchi Certified Buyer , Yadadri District",Slightly disappointed,Jan 2026
5,"Very bad product only battery is good phone will be hang on use and camera is not a good its also hang problem READ MORE Tejas Chitte Certified Buyer , Surat",Simply awesome,Dec 2025
4,"Best product ever I can say proudly... go for it READ MORE Musharraf Ali Certified Buyer , Netarhat",Delightful,Dec 2025
5,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Best in the market! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB I love this phone too much siddharth boldhane , Aurangabad Division Helpful Verified Purchase 5.0 Terrific Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Value for money Bharath Kumar , Coimbatore Helpful Verified Purchase 5.0 Simply awesome Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB In t",",093 ratings and 248 reviews",Jan 2026
4,"Just Go for it... There is no disadvantage or any weakness... I have been using it since READ MORE Sahil Khan Certified Buyer , Hugli District",Wonderful,Jan 2026
5,"The iQOO Z10 5G Stellar Black  128 GB offers a truly impressive battery life with its massive 7300mAh cell, easily lasting 2-3 days on a single charge even with active use. The battery is optimized for long-lasting performance, making it one of the best options for users who want reliable, uninterrupted usage throughout the day. Battery Performance The 7300mAh battery can last over two days with regular use and up to three days on moderate use. Users report getting more than 10 hours of ... READ",Classy product,Feb 2026
4,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Worth the money Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Good Subin Suresh , Kochi Helpful Verified Purchase 5.0 Wonderful Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB Super product , Prakasam Helpful Verified Purchase 5.0 Awesome Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Good phone good battery service Manoj Sharma , Manasa Help",Worth the money,Jan 2026
4,"not worthy Camera screen recorder front camera - zooming experience is too low Video recording- after zooming the video very bad experience I have waited money to buy this phone .I am not satisfied with this phone at this price READ MORE Yaishi Sarkar Certified Buyer , New Delhi",Worth the money,Feb 2026
5,"Speaker is not much great rest all is good. READ MORE Nitish Kumar Certified Buyer , Malkera",Worth every penny,Dec 2025
5,"Its so good for bgmi and gaming with 120fps nice and battery life is also good READ MORE Khasim Saheb Certified Buyer , Kurnool District",",093 ratings and 248 reviews",Jan 2026
5,"Phone Display gone in 1 month, worst product of my Entire phone purchase READ MORE VENKATA SATISH BABU CHAGANTI Certified Buyer , Bengaluru",Terrific,Jan 2026
2,"Nice product... Display camera battery all super READ MORE Certified Buyer ,",Moderate,Jan 2026
5,"I was using Realme 2 pro since 2018 now upgraded to this one No doubt its A Battery Beast i bought this for long battery and now am totally satisfied with the phone if you are a normal user it will last for 2 days am not camera centric but it has good camera but not better than my old phone.Go for it if you need Long lasting battery and good performance. READ MORE Certified Buyer ,",",093 ratings and 248 reviews",Dec 2025
5,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Value-for-money Review for Color Stellar Black  Black RAM 8 GB Storage 256 GB Not bad Vikas vikas , Sakleshpur Helpful Verified Purchase 5.0 Perfect product! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Nice phone NAMMI PARTHA SARATHI , Yelamanchili Helpful Verified Purchase 5.0 Best in the market! Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Nice phone",",093 ratings and 248 reviews",Feb 2026
5,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Good quality product Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Slightly the screen shutters sometimes other than that the battery backup is too good Gokul Vaasan , Dasanaickenpatti Helpful Verified Purchase 4.0 Good quality product Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB Nice Product P Hari Krishna , Pamur Helpful Verified Purchase 4.0 Delightful Review for Color S",Must buy!,Jan 2026
5,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by ABOUT Contact Us About Us Careers Flipkart Stories Press Corporate Information GROUP COMPANIES Myntra Cleartrip Shopsy HELP Payments Shipping Cancellation  Returns FAQ CONSUMER POLICY Cancellation  Returns Terms Of Use Security Privacy Sitemap Grievance Redressal EPR Compliance FSSAI Food Safety Connect App Mail Us Flipkart Internet Private Limited, Buildings Alyssa, Begonia  Clove Embassy Tech Village, Outer Ring Road, Devarabeesanahall",Just wow!,Jan 2026
5,"Designing,camera,display,performance,battery all superb. But sound and speaker quality is normal... READ MORE Sinto Pj Certified Buyer , Thrissur",",093 ratings and 248 reviews",Dec 2025
5,"Excellent camera and battery backup recommended for the one who want to buy READ MORE Darshan Naik Certified Buyer , Uttara Kannada District",Simply awesome,Jan 2026
4,"Camera - 1010 Battery - 1010 Performance 1010 Is mobile camera is Awesome and performance is very READ MORE Indrajit Majumdar Certified Buyer , Uttar Dinajpur District",Worth the money,Feb 2026
5,"The mobile is good and nice gaming experience READ MORE Certified Buyer ,",Fabulous!,Jan 2026
5,"Pros- best camera quality Super performance Design -45 Cons- this phone have a major problem Calling problem facing in outdoor and indoor Please be careful when purchase. READ MORE Atanu kundu Certified Buyer , Basirhat",Highly recommended,Jan 2026
4,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Wonderful Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Good Mithilesh Kumar , Dhanbad Helpful for 4 Verified Purchase 5.0 Terrific Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB Nice quality Manjur Alam , Gandhinagar District Helpful for 4 Verified Purchase 5.0 Wonderful Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Nice mobile Vicky Sir , Deoria Helpful fo",Value-for-money,Jan 2026
5,"The camera could be better since its a SONY IMX882. Battery backup and charging is excellent2 days if not gaming Gaming can be done smoothly. The build quality is very good. READ MORE Certified Buyer ,",Great product,Dec 2025
4,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Really Nice Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Value for money product Varun P. Das , Pala Helpful for 2 1 Verified Purchase 5.0 Highly recommended Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Very nice Vikas Powar , Kurundvad Helpful for 5 2 Verified Purchase 5.0 Wonderful Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Super",Very Good,Jan 2026
