rating,text,title,date,city
5,This is undoubtedly the best in the market! Feels premium and also the performance is at par excellence! A beast in terms of camera quality and battery backup!,Wonderful,Sep 2023,Umarkote
5,Nice,Perfect product!,Feb 2024,Noida
5,Nahid,Simply awesome,Oct 2024,Prayagraj
5,I brought it for my convocation ceremony,Terrific purchase,,Kolkata
5,"This phone are not only for show off, these are the real master peice for content creators and reels creators, All or good but camara will nailed it,the one and only negative is battery. Thats all thankyou Anbu natarajan S",Must buy!,,Tiruchirappalli
5,Nice phone,Wonderful,Sep 2024,Hyderabad
5,Overall same,Fabulous!,Jan 2024,Silchar
5,"Very nice iPhone 15, very good quality, very nice display. Very nice camera, thanks.",Must buy!,Jun 2024,Hyderabad
3,Design and performance is good. But somehow I felt the quality and standard is not the same as it used to be. It does heat up while charging and prolonged usage. This is unexpected and unacceptable. Also there are connectivity issues with Apple CarPlay.,Just okay,Nov 2023,Kakinada
5,Its amazing mobile phone.,Simply awesome,Jan 2025,New Delhi
5,Best purchase till date! Thank you Flipkart,Just wow!,Oct 2024,New Delhi
5,Nice prodouct thank you flipkart PRAKASH MANDAL,Mind-blowing purchase,Jan 2024,Azamgarh
1,I had bought this 11months back and now My front camera has started showing 2-3 green pink lines,Hated it!,,Jammu
5,Camera 108 battery 107 performance 1010 Jedi khan,Worth every penny,Oct 2024,Jhunjhunu
5,,Wonderful,Dec 2024,Kancheepuram
5,Far better than 15pro no finger print even with moisturize hands,Just wow!,Sep 2023,Durg
5,I just loved it Thank you so much Jayanth K B,Brilliant,Oct 2023,Hyderabad
4,"I bought this in big billion days in Flipkart, overall the pho Ashbin paul",Delightful,,Bengaluru
5,Excellant,Fabulous!,Oct 2024,Pimpri Chinchwad
4,"Well, there is a little bit of hitting issue there, not at charging but in general operations. From design perspective, dynamic island is horribly thick for a 6.1 screen. It could have been smarter if the look was a little bit slim. What stops apple to increase the battery capacity now a days is beyond explanation. The Chinese manufacturers has definitely done a phenomenal job in terms of both the battery and charging. Theres no trade Off there, its a success for them. In software, the comp...",Wonderful,Apr 2024,Barasat
5,Good,Best in the market!,Oct 2024,New Delhi
5,EXCELLENT PHONE,Awesome,Sep 2024,Vasai Virar
5,Vraj,Terrific,Sep 2023,Padra
5,This product is very good Vivek Gupta ji,Terrific,Oct 2023,Salempur
5,Everything is good. Battery backup is hardly 6hrs will come while continuously usage. Camera is fantastic. In this iphone 60 hz refreshing rate is equals to 120hz refresh rate in android. Very light weight.,Classy product,Nov 2023,Anakapalle
5,Awesome,Brilliant,Jan 2024,Panchkula
1,Battery backup is not at all good,Terrible product,Oct 2024,Bengaluru
5,Very nice work i phone 15 photos amazing nice camera phone,Great product,Jan 2025,New Delhi
5,Brilliant phone for the price!,Just wow!,Jan 2024,Bokakhat
5,Camera is best quality vikash kumar,Excellent,Jun 2024,Hajipur
5,"Mind-blowing I love it Everything is greattt Very good battery backup, best camera, very good design. Update after using for 1 week I legit have to charge my phone for 2times in a day else everything is great",Excellent,May 2024,Nayabazar
1,Very low battery capacity very worst product,Terrible product,Nov 2024,Bengaluru
5,"been using the iPhone 15 model for a few months now, and Im thoroughly impressed. The battery life is excellent, lasting all day with heavy use. The display is bright and sharp, making everything from watching videos to browsing the web a pleasure. The security features, like Face ID, add an extra layer of confidence. definitely worth the investment for anyone looking for a high-quality smartphone.",Terrific,Oct 2024,Fatehpur
5,Its awesome mind blowing purchase shubham chaudhary,Brilliant,Oct 2024,Kanpur
5,perfect phone,Wonderful,Jan 2024,Navi Mumbai
5,"This is an extraordinary mobile designed by the apple, its display, camera and overall performance is beyond the words praveenreddy komsani",Terrific,Jan 2024,Hyderabad
3,,Decent product,Oct 2023,Nellikuppam
5,"Awesome , excellent performance",Awesome,Mar 2024,Bengaluru
5,Value for Money Product...,Excellent,,Malda
5,Good one!,Simply awesome,,Hailakandi
5,Nice,Wonderful,Jan 2025,Gobindpur
5,"I am very happy to get my first iphone in my life this phone is dream for me, finnally dream complete,btw camera quality is outstanding I like everything about this i phone..",Mind-blowing purchase,Jan 2025,Khatra
5,Performance is very good,Classy product,Nov 2024,Gaya
5,Loved it Dr Anita jadhav,Simply awesome,Sep 2024,Kalaburgi
5,Beautiful PAPUN PATRA,Super!,Dec 2023,Mayurbhanj District
5,"Awesome As a first time ios user, I literally think its one of the best deal! Nonetheless as Android-flagship becoming more expensive these days, still ios doesnt match the fluidity provided by Android. One very promising Ive seen so far using iPhone is that battery last longer than i expected with high security. Its like pay per view authenticity one can appreciate using iPhone. If you can match the trend set in ios you may go for it but if you dont stick with your android. People m...",Mind-blowing purchase,Jun 2024,Imphal
5,"Bought 256gb green variant , new to ios IOS is very fluid and smooth Design is awesome, i took green its looking better in hand than other colours and dynmaic island adds to it. No heatings issues Perfromance is good Charges faster than pixel Camera and Video recording is very good Coming from pixel 7a where pixel is one of worst device out there having bad charging, worst battery backup even heats up in normal usage in our country. Ranjith kumar",Just wow!,Jun 2024,Bangalore
5,"Forget the phone, your delivery service was the one I loved the most. Thank you",Perfect product!,Oct 2024,Bengaluru
4,Mohamad,Value-for-money,,Kolkata
5,Camera quality,Excellent,Apr 2024,Gurgaon
4,"Not that much great and user friendly as i expected. Audio, Processor and Display are however its USP. Quiet costly for the features it brings",Worth the money,Nov 2024,Jabalpur
4,,Very Good,Oct 2024,Chennai
3,"iPhones are just all about the brand. I hate them, but I got one for my wife because she loves them. She doesnt know anything about tech, so I could have gotten a better Android phone for the same price, but she only wants iPhones.",Vishal Sangl3,Oct 2024,Mumbai
5,All over good phone at reasonable price,Best in the market!,Jan 2025,Chennai
4,Gaurav,Worth the money,Oct 2024,Haldwani
5,"Just take it without asking anyone, Sumit samal",Just wow!,Jan 2024,Malkangiri
5,"Awesome phone, Camera is excellent Battery backup is superb just like an Android phone Performance is brilliant I phone 15 is best phone",Mind-blowing purchase,Jan 2024,Khordha District
5,Nice phone .,Highly recommended,Jan 2024,Pune District
5,48MP Camera With 2x Zoom. Dynamic Island. USB-C Port. Superb Design and Premium Build. Only 60Hz Display Refresh Rate. Slow Charging. No Action Button. No Always-on Display. Rating Camera - 4.55 Battery - 45 Performance - 4.55 Charging - 45 Display - 45 Design and Build - 4.55 Sound - 45 Software - 4.55 Value For Money - 45 Overall Experience - 4.55 Hit Like Button If This Review Really Helps You.,Wonderful,Oct 2023,Bettiah
5,Best phone,Worth every penny,Jan 2024,Pune
3,Phone is good just two issue refresh rate of 60hertz and USB 2.0 at this price range is not acceptable atleast 90hertz and USB 3.1,Does the job,Feb 2024,Hisar
4,"The phone is pretty good in terms of camera. However, those who have used 120hz premium display phones will find the display experience to be bad",Good quality product,Oct 2024,Birbhum District
4,Satisfied Prakash M,Delightful,Sep 2024,Chennai
4,Overall good,Worth the money,Mar 2024,Anakapalle
4,Photo Quality is Excellent But Battery performance and Heat issue,Really Nice,Mar 2024,Jhalawar
5,Awesome,Fabulous! its an iphone right......,Jan 2024,Udupi
5,Everything is fine but its heating while using phone,Mind-blowing purchase,Sep 2024,Noida
5,Amazing product with Amazing Price ....,Awesome,Sep 2024,Pimpri Chinchwad
3,"Battery drains very quickly, rest okay as per price. JYOTIRMOY DAN ROY",Does the job,Oct 2024,Margherita
5,Delivery was exceptionally speedy and with superior quality....great,Brilliant,Oct 2024,Guntur
4,Very nice camera I love it,Delightful,Feb 2024,Azamgarh
5,Manish,Awesome,Apr 2024,Mumbai
5,Awesome,Simply awesome,Jun 2024,Anand Nagar
4,Awesome super sandeep n,Very Good,Oct 2023,Hyderabad
5,Overall Beast Performance 1010 Just Go,Great product,Oct 2023,Valsad District
5,"Nothing to say.. Camera, performance, display, design, battey service Everything is",Wonderful,Oct 2023,Kandi
5,Awesome,Mind-blowing purchase,Oct 2024,New Delhi
5,Wow nice phone I am very happy,Terrific purchase,Nov 2023,Barauli
5,Nice one,Terrific purchase,Oct 2023,Bankura District
5,"The best iphone to buy right now. Chose the 512 gb variant. It has type c, great battery life and overall great size as well. Thought of getting the plus but it was too big. But that does have good battery life. But this one has a great battery life even with a small battery. Also no words to say about camera and performance. Great absolutely beautiful. I went for the 512 gb storage because this uses more space for photos with the new 48 mp camera. Iphone should really make the base variant a...",Super!,Dec 2024,Pallippuram Thiruvananthapuram District
5,Value Of money Good battery Good Quality Camera Thanku Flipkart Thanku,Super!,Jun 2024,Prayagraj
5,"The camera of iPhone 15 is very good because I am using it, everything is working fine, many people are saying that the battery is not working but this is wrong, I am using it and it works fine",Highly recommended,May 2024,New Delhi
5,Top class performance in every aspect,Worth every penny,Oct 2023,Pathankot
4,good to use,Really Nice,Oct 2024,Chandigarh
4,Alfajur,Wonderful,Oct 2024,Jiaganj
5,Amazing product Best iPhone out of all the iPhone series K.srinath,Perfect product!,Oct 2023,Kandukur
5,"Great phone , worth the money",Great product,Jan 2024,Etawah District
5,This is my first iPhone . Bought it from flipkart and flipkart never disappoints me. Bought it during Republic Day sale and got a really good deal. Thank,Must buy!,Feb 2024,Kolkata
5,Apple !! Nothing more.Nothing less. Perfect size. Unparalleled performance. Splendid camera. Reasonable battery back up.,Excellent,May 2024,Thrissur
4,"Battery is worst! I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem! Monish B",Wonderful,Jan 2024,Salem
5,Awesome,Perfect product!,Jan 2024,Kolkata
5,Product is good as you all know its iphone,Super!,,Noida
5,Value for money. Worth its money.,Excellent,Jan 2024,Kancheepuram District
5,As good as apple previous models Salman SHER,Terrific purchase,,Kanpur
5,Awesome product,Super!,,Bengaluru
5,I love the performance and camera of this. And for a etter experience I would suggest to give a better battery performance. Thats it.,Terrific,,Hanumana
5,KAMLESH KUMAR,Great product,,New Delhi
5,All is good but some heating problems in phone ____ m t R y____,Mind-blowing purchase,,Begusarai District
5,Perfect bharat ravat,Super!,,Keshod
5,Great phone working seamless.,Must buy!,,Pimpri Chinchwad
5,Just love it,Perfect product!,Jan 2025,Gurgaon
5,Cemra quality good Performance are good Display okk 60hz Dev rajput,Brilliant,Jan 2025,Meerut Division
5,I love it....,Awesome,Dec 2024,Nagina
5,Good performance lite wait garla vivek reddy,Terrific,Nov 2024,Nellore
5,"Battery life ok, camera, performance,display, look are best.",Perfect product!,Nov 2024,Kolkata
1,"In just 30 days of use, there are scratches on the display screen. Whereas I used one of midrange smartphone Super AMOLED display without a screen protector for over three years with no scratches. Not worth for money!! After 10 months the colors is fading now.",Not recommended at all,Feb 2024,Bangalore
5,Apple has always been on top with its system and designs. Iphone 15 gives best quality camera and other feature. Good battery life and beautiful slim and compact sized. Best phone to buy in this budget.,Terrific purchase,Nov 2024,Kalyan
5,Love iphone 15,Simply awesome,Nov 2024,Noida
5,Awesome,Best in the market!,Jan 2024,Guna
5,I am really Satisfied with this iphone. Video Quality is really good. And Battery Decent But Worth it. saheb dey,Simply awesome,Nov 2024,Bankura
5,The best smartphone under 60000. Little bit heating issues.,Highly recommended,Nov 2024,Belagavi
5,Nyc product,Great product,Oct 2024,Barasat
5,I bought this for my husband. It was a surprise gift for him as he had lost his phone a day earlier. He was surprised and was really happy as he wanted this phone so much.,Just wow!,Oct 2024,Kalyan
5,"So far so good, excellent pictures, battery performing well",Great product,Oct 2024,Kolkata
5,Very nice performance yogendra pratap singh,Super!,Oct 2024,Pilibhit
5,Just Wow D,Best in the market!,Oct 2024,Berhampur
5,Amazing Better than one plus for sure,Brilliant,Feb 2024,Chennai
5,"Nice product with all features specially its looks and camera, battery backup is good.",Mind-blowing purchase,Oct 2024,Kanpur
5,loved it,Terrific purchase,Oct 2024,Jabalpur
5,Love this device,Just wow!,Oct 2024,Jawalamukhi
5,Loved it Rupam sahoo,Awesome,Oct 2024,New Delhi
5,"Apple products are superb, and this one is nothing less. Good discount from Flipkart. Safe and reliable shipping.",Terrific,Oct 2024,Bengaluru
5,Biju S,Simply awesome,Oct 2024,Chennai
5,Good product Moinuddin khan,Wonderful,Jan 2024,Rampur
