rating,title,review_text,TextBlob_Label,TextBlob_Score,VADER_Label,VADER_Score,BERT_Label,BERT_Score
5,Mind-blowing purchase,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality is unparalleled, capturing every moment with incredible detail and clarity. Plus, the battery life is impressive, easily lasting me throughout the day. With the added bonus of a great deal and discount, purchasing the iPhone 15 from Flipkart was an absolute steal. Varsha Sadanand Salve , Bengaluru Apr, 2024",Positive,0.48571428571428577,Positive,0.9371,POSITIVE,0.9998289346694946
5,Super!,"Best for regular usage Flipkart Customer , Chittoor District Feb, 2024",Positive,0.5,Positive,0.6369,NEGATIVE,0.8121946454048157
5,Simply awesome,"This is my first iphone ever used loving it already this is worth it Praveen Kumar , Tirupati Sep, 2023",Positive,0.3833333333333333,Positive,0.7003,POSITIVE,0.9996621608734131
5,Classy product,"Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... Im writing now again for review...its really maintained its premium image Akash Deep , Delhi Division Jan, 2024",Positive,0.325,Positive,0.5859,POSITIVE,0.9994465708732605
5,Brilliant,"moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps. Sajib Das , Agartala Jan, 2024",Positive,0.375,Positive,0.4005,POSITIVE,0.9835819005966187
5,Terrific,"Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing Jayanth Jai , Bangalore Division Feb, 2024",Positive,0.6000000000000001,Positive,0.5859,POSITIVE,0.9408820271492004
5,Awesome,"Nice Jayanta Roy , Navi Mumbai Sep, 2023",Positive,0.6,Positive,0.4215,POSITIVE,0.999420166015625
5,Just wow!,"Camera Flipkart Customer , Bangalore Jan, 2024",Neutral,0.0,Neutral,0.0,NEGATIVE,0.814949631690979
5,Wonderful,"Simply wow wow wow Shubhanker Singh , New Delhi Jan, 2024",Positive,0.1090909090909091,Positive,0.9081,POSITIVE,0.9997379183769226
4,Wonderful,"Everything lovely Just for the first time u wont feel much difference bw pro and non pro model iphones. Mohammad Mubarak , Aligarh Jan, 2024",Positive,0.31666666666666665,Positive,0.5859,POSITIVE,0.9994681477546692
5,Great product,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the ios It is really very nice and feels premium. The camera is also very nice... Anubhav Chauhan , Panchkula Jun, 2024",Positive,0.37375,Positive,0.6137,POSITIVE,0.9997475743293762
5,Terrific purchase,"Absolutely gorgeous ANUP SINGH GAUTAM , Ghaziabad Oct, 2023",Positive,0.7,Positive,0.6478,POSITIVE,0.9998006224632263
5,Wonderful,"Camera is so good SYAM SUNDER , Sangaria Jan, 2024",Positive,0.7,Positive,0.5777,POSITIVE,0.9997941851615906
5,Best in the market!,"48 megapixel is lit Thin bessels compared to 14 Lesser in weight Dynamic Island works perfectly Good battery backup My rating 55 SANDEEP SOMAN , Sipcot Industrial Park Sriprumbudur Sep, 2023",Positive,0.07499999999999998,Positive,0.8658,POSITIVE,0.6344009637832642
4,Thin bessels compared to 14,Lesser in weight Dynamic Island works perfectly Good battery backup My rating 55,Positive,0.2333333333333333,Positive,0.8658,POSITIVE,0.9964975714683533
5,Perfect product!,"The camera quality is just awesome ..just like DSLR ABIR MODAK , Halisahar Feb, 2024",Positive,1.0,Positive,0.765,POSITIVE,0.9998706579208374
5,Best in the market!,"best camera phone Krishna kishor Singh , Patna Jan, 2024",Positive,1.0,Positive,0.6369,POSITIVE,0.9990763664245605
5,Brilliant,"Switch from android to iPhone Just wow. Camera and battery backup is outstanding for daily use Purnendu Mondal , English Bazar Jan, 2024",Positive,0.15,Positive,0.8316,POSITIVE,0.9993059635162354
5,Classy product,"Nice Product Thanks for Flipkart Camera 1010 Battery 810 Display 1010 Bibhu Prasad Bisoyi , Hyderabad Oct, 2024",Positive,0.4,Positive,0.6908,POSITIVE,0.9984080195426941
5,Awesome,"Loved this product Feroz Basha , Kurnool Jan, 2024",Positive,0.7,Positive,0.5994,POSITIVE,0.9987196922302246
5,Wonderful,"Srasthanibedita Swain , Bengaluru Dec, 2024",Neutral,0.0,Neutral,0.0,POSITIVE,0.6751187443733215
5,Mind-blowing purchase,"Great for photography nd videography Especially inbuilt 2x zoom helps a lot which is missing in previous basic models Dr Rohith Gurugubelli , Srikakulam Sep, 2024",Positive,0.0866666666666667,Positive,0.6705,NEGATIVE,0.9962905645370483
5,Must buy!,"This mobile is phenomenal, I like the camera most Flipkart Customer , North Twenty Four Parganas District Jan, 2024",Positive,0.5,Positive,0.3612,POSITIVE,0.9995554089546204
5,Fabulous!,"It looks so good in my hand !.......WAU? Atul Negi , Dehradun Sep, 2023",Positive,0.875,Positive,0.8038,POSITIVE,0.9992383718490601
5,Fabulous!,"I was sceptical of online purchase but I was wrong I got what I ordered Best phone ever Sharon Lepcha , Siliguri Jan, 2024",Positive,0.25,Positive,0.2617,NEGATIVE,0.6641200184822083
5,Simply awesome,"Good Product VENKATESH REDDY , Bengaluru Feb, 2024",Positive,0.7,Positive,0.4404,POSITIVE,0.9996548891067505
5,Fabulous!,"Its performance is super and nice camera also a ok battery backup.. Akhilesh Bepari , Chhindwara Sep, 2023",Positive,0.4777777777777778,Positive,0.836,POSITIVE,0.9993415474891663
5,Worth every penny,"Camera is good but not too good like other camera phone. Performance is good but missed 90hz display. Battery is good enough for a day use. Sound is quite awesome like no other phones Rest phone is good to go for. Preenit Rai , Bhopal Feb, 2024",Positive,0.48374999999999996,Positive,0.9339,POSITIVE,0.9971189498901367
5,Must buy!,"Nice CHETAN TILWALIA , Loni Apr, 2024",Positive,0.6,Positive,0.4215,POSITIVE,0.9970663189888
5,Excellent,"Such a amazing phone RAHUL SEN , Guna Jan, 2024",Positive,0.30000000000000004,Positive,0.5859,POSITIVE,0.9991559982299805
5,Great product,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 . SHASHANK PATHAK , Agra Jan, 2024",Positive,0.6000000000000001,Positive,0.7579,POSITIVE,0.9967461824417114
5,Brilliant,"Really its the best and richest design Anish Sanjay , Salem Apr, 2024",Positive,0.6,Positive,0.8344,POSITIVE,0.9998251795768738
5,Simply awesome,"Best phone ever Flipkart Customer , New Delhi 11 months ago",Positive,0.5681818181818181,Positive,0.6369,POSITIVE,0.9987071752548218
4,Good choice,"Very nice product we loved the phone very much Naveen S , Bangalore Sep, 2023",Positive,0.58,Positive,0.7902,POSITIVE,0.9996654987335205
5,Classy product,"Absolutely premium product..just wow Kishu Kumar , Supaul Jan, 2024",Positive,0.15000000000000002,Positive,0.6204,POSITIVE,0.9997398257255554
5,Brilliant,"1010 I love this love it very good work jeet sikder , Bagula Jun, 2024",Positive,0.6366666666666666,Positive,0.9117,POSITIVE,0.9998564720153809
5,Highly recommended,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series. Camera- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x ... jay singh , Lucknow Oct, 2023",Positive,0.37,Positive,0.6901,POSITIVE,0.9993756413459778
5,Worth every penny,"As Expected PROSIT DAS , Hugli District Apr, 2024",Negative,-0.1,Neutral,0.0,NEGATIVE,0.8036157488822937
5,Super!,"Pic Quality Awesome Mukesh Kumar , Patna Oct, 2023",Positive,1.0,Positive,0.6249,POSITIVE,0.9995002746582031
5,Worth every penny,"Light weight phone. Camera and sound is fine and performance is highly appreciable. Ayan Das , Kolkata Feb, 2024",Positive,0.3441666666666667,Positive,0.2023,POSITIVE,0.9996901750564575
5,Classy product,"A perfect n balanced phone . Was thinking of switching to ios from last two years and yeah its worth buying the black beauty . Abhijit Kumar , Kuju Jan, 2024",Positive,0.2833333333333333,Positive,0.891,POSITIVE,0.9984007477760315
4,Worth the money,"Writing this review after extensive usage. Hope it helps interested buyers decide. 1. Display- 45 Great display but limited to 60Hz in 2023-24 2. Camera- 45 Great cameras but no telephoto at th... Arpan Dewanjee , Bally Mar, 2024",Positive,0.35571428571428576,Positive,0.8248,NEGATIVE,0.9887381792068481
4,Wonderful,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously bett... Himanjan Bora , North Lakhimpur Aug, 2024",Positive,0.09999999999999999,Positive,0.6369,POSITIVE,0.9991853833198547
5,Worth every penny,"Awesome... Surabhi Das , Raipur Jan, 2024",Positive,1.0,Neutral,0.0,POSITIVE,0.9997997879981995
5,Must buy!,"Very good quality dr sachchidanand pardeshi , Sangli District May, 2024",Positive,0.9099999999999999,Positive,0.4927,POSITIVE,0.9997358918190002
5,Value-for-money,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is... Nirmala Sahu , Naugachhia Jan, 2024",Positive,0.3625,Positive,0.8074,POSITIVE,0.9990799427032471
5,Super!,"Very nice product Nitin Kumar , New Delhi May, 2024",Positive,0.4581818181818182,Positive,0.4754,POSITIVE,0.9998513460159302
5,Super!,"Brilliant Nandita Panchal , Gangoh Dec, 2024",Positive,0.9,Positive,0.5859,POSITIVE,0.9996103644371033
5,Super!,"I have been using this phone since two months. And this phone is amazing. Camera- 1010 Display- 1010 Performance- 1010 Battery- 9.510 Ajmir Hossain , Milki Apr, 2024",Positive,0.6000000000000001,Positive,0.5859,POSITIVE,0.9995535016059875
5,Fabulous!,"Performance super jithu reddy , Anantapur Jan, 2024",Positive,0.3333333333333333,Positive,0.5994,POSITIVE,0.9971311092376709
5,Highly recommended,"Its amazing nd also the delivery boy was very humble. Urgain Norzin , New Delhi Oct, 2023",Positive,0.1587878787878788,Positive,0.5859,POSITIVE,0.9995243549346924
5,Terrific purchase,"Meet my expectations! Nilanjan Pal , Paschim Medinipur District May, 2024",Neutral,0.0,Neutral,0.0,POSITIVE,0.9986358284950256
5,Terrific,"Best in class..! Superb camera and performance. Fine grip. Nilesh Yadav , Aurangabad Sep, 2023",Positive,0.8055555555555555,Positive,0.8858,POSITIVE,0.9998593330383301
5,Classy product,"I recently went on a trip with a friend who has S24 ultra but somehow we ended up clicking all the pictures with my Iphone 15. The camera is that good. Swarnima Customer , Karimganj Nov, 2024",Positive,0.35,Positive,0.714,POSITIVE,0.9996095299720764
5,Fabulous!,"Abnish Sen , Kanpur Jan, 2024",Neutral,0.0,Neutral,0.0,POSITIVE,0.9918600916862488
5,Great product,"Arrived on launch day and after using it for a day, the iPhone 15 is AMAZING. After almost 5 years it was finally time for me to upgrade from my iPhone XR. Set up was smooth and seamless, especially using iCloud to transfer data over.The display is greatly improved, and it gets a lot brighter which is helpful outdoors. The dynamic island works smoothly even on the standard models 60Hz screen. This phones cameras take highly detailed photos even without a dedicated telephoto lens. In terms o... Vanshu Customer , Gurgaon District Jan, 2024",Positive,0.27,Positive,0.9252,POSITIVE,0.9989909529685974
4,Really Nice,"Mobile battery consumption very fast So that I charge 3 times to charge in a day Flipkart Customer , Visakhapatnam Oct, 2024",Positive,0.26,Neutral,0.0,NEGATIVE,0.9598989486694336
4,Wonderful,"Best phone i have ever used in terms of performance, photography and other features. Shailesh choudhari , Hyderabad Feb, 2024",Positive,0.4375,Positive,0.6369,POSITIVE,0.9996284246444702
5,Fabulous!,"Love the performance Ajay Vishwakarma , New Delhi Jan, 2024",Positive,0.3181818181818182,Positive,0.6369,POSITIVE,0.9998282194137573
5,Worth every penny,"Fantastic Ashwani Kumar , New Delhi 11 months ago",Positive,0.2681818181818182,Positive,0.5574,POSITIVE,0.9997338652610779
5,Mind-blowing purchase,"Fully satisfied using iphone But battery drains fast as compared to any other phone.. subhabrata paul , Teliamura Oct, 2024",Positive,0.19166666666666665,Positive,0.2609,NEGATIVE,0.9978752136230469
5,Terrific purchase,"I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time. Aniket Zurange , Pune Sep, 2024",Positive,1.0,Positive,0.6369,POSITIVE,0.9986667633056641
5,Worth every penny,"awesome camera looks like Captured DSLR quality Sounds quality best Battery backup is good not better and best About performance i have no words Abhishek Kumar , Siwan District May, 2024",Positive,0.6900000000000001,Positive,0.9359,POSITIVE,0.9951741099357605
5,Must buy!,"Coming from iphone 12 mini. Camera is definitely a upgrade over the previous generation. Design outside remains the same. Pastel colours with matte finish. The Dynamic Island is what i liked for the notification part. Processor of previous generation pro models. Overall a value for money among the 15 models. Got it a great deal in flipkart clubbing exchange and bank offers. Delivery was on time. KALPESH SHIRSEKAR , Mumbai Sep, 2023",Positive,0.1166666666666667,Positive,0.9274,POSITIVE,0.9959905743598938
5,Fabulous!,"Awesome Thakur Surya Pratap Singh , Hanumana Jan, 2025",Positive,1.0,Positive,0.6249,POSITIVE,0.9987986087799072
5,Excellent,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. Arunji Govindaraju , Chennai Feb, 2024",Positive,0.5814814814814815,Positive,0.9834,POSITIVE,0.9906558394432068
5,Great product,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the ios It is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase. Anubhav Chauhan , Panchkula Jun, 2024",Positive,0.399,Positive,0.9288,POSITIVE,0.9998121857643127
5,Highly recommended,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series. Camera- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient. Battery- 3349 mAH is quite better as compared to older versions. Performance- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top. Display- In display we get dynamic island which gives phone mo... jay singh , Lucknow Oct, 2023",Positive,0.16515151515151516,Positive,0.9214,POSITIVE,0.99399733543396
4,Worth the money,"Writing this review after extensive usage. Hope it helps interested buyers decide. 1. Display- 45 Great display but limited to 60Hz in 2023-24 2. Camera- 45 Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed 3. Performance- 55 One of the fastest SOC available right now 4. Battery- 35 Average battery life also charger not included in the box and still charges slowly with the 20w bric... Arpan Dewanjee , Bally Mar, 2024",Positive,0.2043154761904762,Positive,0.7184,POSITIVE,0.9941452741622925
4,Wonderful,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother. I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem. Himanjan Bora , North Lakhimpur Aug, 2024",Positive,0.19366883116883118,Positive,0.8272,POSITIVE,0.9965052604675293
5,Value-for-money,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor. Nirmala Sahu , Naugachhia Jan, 2024",Positive,0.2928571428571428,Positive,0.6808,POSITIVE,0.9850596189498901
1,Worst experience ever!,"Worst experience ever!!!! Flipkart Customer , Noida Jan, 2024",Negative,-1.0,Negative,-0.7405,NEGATIVE,0.9997897744178772
5,Classy product,"Great purchase. Was heating up a little for first few use and while charging, but got normal afterwards. Like the design. Camera is great as expected. Happy with my purchase Gourav Ghoshal , Kharagpur Mar, 2024",Positive,0.2890625,Positive,0.9552,POSITIVE,0.999365508556366
5,Terrific,"Nice product for ever Ashish Kumar , Baleshwar District Oct, 2024",Positive,0.6,Positive,0.4215,POSITIVE,0.9997759461402893
5,Awesome,"Good phone but almost same as iphone 14. Atif Adnan , Patna Jan, 2024",Positive,0.35,Positive,0.2382,POSITIVE,0.9366006851196289
5,Wonderful,"Best AAKASH KAUSHIK , Faridabad Nov, 2023",Positive,1.0,Positive,0.6369,POSITIVE,0.9992308616638184
5,Worth every penny,"Nice photography Camera good But telephone lense missing Speaker Quality good but call Speaker not as good as compare to samsung S series device. Display above average as compare to samsung . Performance good Ashwani kumar , Gangoh Dec, 2024",Positive,0.38125,Positive,0.9118,NEGATIVE,0.961783230304718
5,Brilliant,"Excellent Gulam Nabi Raza Raza , Kolkata Oct, 2023",Positive,1.0,Positive,0.5719,POSITIVE,0.9996104836463928
5,Excellent,"Excellent Sudip Mandal , Kolkata Feb, 2024",Positive,1.0,Positive,0.5719,POSITIVE,0.9995056390762329
5,Classy product,"This iPhone 15 is simply amazing. Was dicey about ordering it online as I was concerned if it would be genuine. But I got the iPhone which was in perfect condition. Talking about the phone and features, the camera is great and the iOS user experience is brilliant, performance is amazing, although the battery drains out a bit fast but with proper settings that can be handled too. Overall its a great phone if you have the budget and its the best time to buy if youre considering switching fro... Surya Duvvuri , Visakhapatnam Jan, 2024",Positive,0.5727272727272728,Positive,0.9905,POSITIVE,0.9994552731513977
5,Terrific,"Everything performance good it is a apple brand tq Ravi kumar kasi , Tadepalligudem Sep, 2024",Positive,0.7,Positive,0.4404,POSITIVE,0.9996403455734253
5,Just wow!,"Nice product Mukund Sharma , Jaipur Oct, 2024",Positive,0.6,Positive,0.4215,POSITIVE,0.9993888139724731
5,Wonderful,"The best in class. Akshay Jhade , Raichur Sep, 2024",Positive,1.0,Positive,0.6369,POSITIVE,0.9998175501823425
5,Best in the market!,"EXCELLENT PRODUCT Fahad Mirza , Jhansi Feb, 2024",Positive,1.0,Positive,0.6633,POSITIVE,0.9997262358665466
5,Best in the market!,"I am sharing my review after using this mobile for 1 week.. really awesome and easy to use.. I like this mobile very much the only drawback is battery life Dhanyasri Kannan , Pondicherry Jan, 2024",Positive,0.42333333333333334,Positive,0.9162,POSITIVE,0.9970978498458862
5,Highly recommended,"A great phone with quality display 60Hz, average to good battery backup, speaker same as 14, camera is very good in this segment, performance toooo good for this compact sized phone almost never heated much except for charging and bgmi though normal for every phone. Dynamic island animations are great though not a fan of it still better than notch. And design is amazing very premium. Saikat Das , Durgapur Oct, 2023",Positive,0.4161538461538462,Positive,0.9757,POSITIVE,0.9982761144638062
5,Awesome,"I really liked it Flipkart Customer , Aluva Oct, 2024",Positive,0.6,Positive,0.4754,POSITIVE,0.999139666557312
5,Classy product,"Nice... Manirathinam V , Chennai Oct, 2024",Positive,0.6,Neutral,0.0,POSITIVE,0.9995397329330444
5,Perfect product!,"Amazing Just go and buy it blindly if you have enough of money Venkat Ramana , Vishakhapatnam Sep, 2023",Positive,0.03333333333333336,Positive,0.5859,NEGATIVE,0.9703139066696167
5,Super!,"One year use 90 battery health decreased.iam never updating software upgrades sound quality the best ever camera outdoor camera quality best Indoor full darkness handling very well nice weight management Arun Babu , Thrissur District 4 months ago",Positive,0.5916666666666667,Positive,0.9165,POSITIVE,0.9888851642608643
5,Great product,"All are good but iPhone can available to share data by any android is feature can be enable James Sharma , Mihona Nov, 2024",Positive,0.55,Positive,0.5789,POSITIVE,0.991459846496582
5,Highly recommended,"Awesome battery backup. Best lowlight camera . Saswata Dash , Gwalior Mar, 2024",Positive,1.0,Positive,0.743,POSITIVE,0.9996358156204224
5,Super!,"WOW - GreatiPhone Pawan Choudhary , Jodhpur District Jun, 2024",Positive,0.1,Positive,0.6739,POSITIVE,0.9985437393188477
5,Awesome,"Upgraded from iPhone XS and it is really great! Display is very nice except the 60hz Volume is loud Cameras are the best in the segment New frosted back glass is actually very good, feels premium to hold and does not get smudged easily Overall a very nice package. Soumya Ranjan Pradhan , Vadodara May, 2024",Positive,0.5229292929292929,Positive,0.9533,POSITIVE,0.9996640682220459
4,Delightful,"Good cameras and displays Chandan Kumar , Banswara Oct, 2024",Positive,0.7,Positive,0.4404,POSITIVE,0.9998487234115601
5,Terrific,"Very nice Flipkart Customer , Bengaluru Feb, 2024",Positive,0.78,Positive,0.4754,POSITIVE,0.9997721314430237
5,Awesome,"just like a Wow NISHA SHETTY , Kasaragod District Apr, 2024",Positive,0.1,Positive,0.743,POSITIVE,0.9995825886726379
5,Great product,"Awesome quality Vipul Kumar singh , New Delhi Nov, 2023",Positive,0.5681818181818181,Positive,0.6249,POSITIVE,0.9998651742935181
4,Wonderful,"I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for it Thilak Kumar , Chittoor District Sep, 2023",Positive,0.65,Positive,0.7184,POSITIVE,0.9997645020484924
1,Utterly Disappointed,"Phone is heating up too much, even after multiple software upgrades, not suggest to buy, please ignore A L Naveen Kumar , Bangalore Oct, 2023",Positive,0.1,Negative,-0.0516,NEGATIVE,0.9979029893875122
5,Must buy!,"Good my 2nd i phone G MOHAMMED SALEEM , Bengaluru May, 2024",Positive,0.35,Positive,0.4404,POSITIVE,0.9658028483390808
5,Awesome,"Awesome phone Best in Class YASSIR ARAFAT ANSARI , Mumbai Nov, 2024",Positive,1.0,Positive,0.8519,POSITIVE,0.999565064907074
5,Terrific purchase,"Nothing to say if you are an iPhone lover then just go for it Prakash Singh , New Delhi Oct, 2024",Positive,0.13636363636363635,Positive,0.5859,NEGATIVE,0.9875942468643188
4,Nice product,"Phone is good. Good battery backup , upgraded camera. But I feel refresh rate should be 90hz atleast. Nalinakshya Sahoo , Jajpur Jan, 2024",Positive,0.7,Positive,0.4404,NEGATIVE,0.673240602016449
5,Highly recommended,"my second iphone..and i love it..you can definitely trust flipkart. Flipkart Customer , New Delhi Dec, 2024",Positive,0.1590909090909091,Positive,0.8807,POSITIVE,0.9998098015785217
